question,topic
What is the difference between linear models and generalized linear models (GLMs)?,regularization
What are the different ways to evaluate model performance?,classification
How would you use N-grams for text classification with bag of words?,text classification
How would you use machine learning to solve this problem?,unsupervised learning
How do we interpret the regularization parameters?,regularization
What are the different types of classification models?,classification
What is the problem you are trying to solve?,classification
What is the linear regression?,supervised learning
How do we initialize weights in neural nets?,neural networks
What is feature selection? Why do we need it?,feature selection
What is the most common type of error that you see in machine learning models?,supervised learning
Can we formulate the search problem as a classification problem? How?,unsupervised learning
What is the principle of linear regression?,supervised learning
What is the difference between linear models and nonlinear models?,regularization
Explain the importance of building a recommender system and how it can help companies to build their business?,recommender systems
Is it possible to do linear models with more than one feature?,regularization
What are the benefits of using Python to do machine learning in production?,unsupervised learning
What are the different types of feature selection methods?,feature selection
What are the key challenges in building a recommender system?,recommender systems
What is the difference between Random Forest model and Gradient Boosting Model?,feature selection
What are the different types of machine learning models and how do they differ from each other?,supervised learning
What is Text Classification?,text classification
How would you use machine learning to predict the value of a stock?,unsupervised learning
What are the types of classification models?,classification
How do you deal with the curse of dimensionality in machine learning?,unsupervised learning
How do we handle categorical variables in decision trees?,feature selection
What are bag of words?,text classification
What are the benefits of using recommender systems?,recommender systems
What is AU PR?,classification
What is machine learning and how does it differ from deep learning?,unsupervised learning
What is the difference between unsupervised learning and supervised learning?,unsupervised learning
How do we train the model?,supervised learning
What is machine learning and how does it differ from other forms of AI?,unsupervised learning
What is ranking algorithms?,unsupervised learning
How can we use text classification models like word embedding?,text classification
What are the key steps in building a machine learning model?,supervised learning
What are the different approaches that can be used to build recommender systems?,recommender systems
What are the different types of machine learning algorithms?,unsupervised learning
What is the difference between linear regression and ordinary least squares regression?,supervised learning
Can you explain the cold start problem?,recommender systems
How do we decide when to stop training a neural net?,neural networks
What do you know about K-fold cross-validation?,supervised learning
How do we deal with missing values in linear models?,regularization
What is the role of machine learning in big data?,supervised learning
What is the confusion table? What are the cells in this table?,classification
What is gradient descent? How does it work?,supervised learning
What’s the learning rate?,neural networks
How can we use word embeddings for text classification?,text classification
What is big data and what are the different types of big data?,supervised learning
What are the other clustering algorithms do you know?,unsupervised learning
What’s the difference between L2 and L1 regularization?,regularization
What happens when the learning rate is too large? Too small?,neural networks
What is the K-fold cross validation?,supervised learning
How does max pooling work? Are there other pooling techniques?,neural networks
What is model checkpointing?,neural networks
What is the difference between XGBoost and Gradient Boosting trees?,feature selection
How do we choose the number of features to include in a linear model?,regularization
How do we know how many trees we need in random forest?,feature selection
How do I handle missing values in machine learning models?,supervised learning
What is time series? What are the types of time series?,time series
Is logistic regression a linear model? Why?,classification
What are word embeddings?,text classification
What is the difference between logistic regression and linear regression?,classification
How can we use Convolutional Neural Networks (CNNs) for image classification?,neural networks
How can we use machine learning for search?,unsupervised learning
Can you explain the concept of the cold start problem?,recommender systems
How can we use text classification with N-grams?,text classification
What is the importance of machine learning in data science?,unsupervised learning
What is the purpose of dropout layer?,neural networks
What is the precision-recall trade-off?,classification
What do we mean by cross-validation?,unsupervised learning
What is the difference between Linear Models and Linear Models?,regularization
What is the purpose of K-fold cross-validation?,supervised learning
What do we do with categorical variables?,classification
How do we perform classification?,classification
What is feature selection?,feature selection
What are the most important aspects of building a recommender system?,recommender systems
Feature importance in gradient boosting trees — what are possible options?,feature selection
Can we use regularization techniques for linear models in non-linear models?,regularization
What’s the effect of L2 regularization on the weights of a linear model?,regularization
What are the key characteristics of a recommender system?,recommender systems
How do we choose our K in K-fold cross-validation?,supervised learning
Which model would you use for text classification with bag of words features?,text classification
What is classification and how it differs from regression?,classification
How to interpret the AU ROC score?,classification
What cold start problem?,recommender systems
How to train a neural network?,neural networks
What are the main types of regularization techniques in linear models?,regularization
What are the key components of unsupervised learning?,unsupervised learning
How can we use deep learning models for text classification?,text classification
Possible approaches to solving the problem of learning a good policy?,recommender systems
What are the advantages of time series?,time series
You have a series with a variable “y” and a set of features. How you would predict “y” at t+1?,time series
What are the different types of time series?,time series
"Given a set of observations, how can we compute the mean and standard deviation (or other statistics) of that set?",unsupervised learning
What is TF-IDF? How is it useful for text classification?,text classification
How do we deal with missing values in supervised learning algorithms?,unsupervised learning
What is the difference between Random Forest and Gradient Boosting Trees?,feature selection
What do you mean by “data mining”?,unsupervised learning
What is the difference between Random Forest model and Gradient Boosting model in terms of performance?,feature selection
How do you use ranking algorithms for ranking?,unsupervised learning
What are the core principles of a good recommender system?,recommender systems
How can we use text classification models for sentiment analysis?,text classification
What is the difference between cross-validation and k-fold cross-validation?,supervised learning
How do you handle missing data in machine learning?,supervised learning
What is SGD — stochastic gradient descent? What’s the difference with the usual gradient descent?,supervised learning
What is logistic regression? When do we need to use it?,classification
What are the problems with using trees for solving time series problems?,time series
How do we choose the best number of trees in random forest model?,feature selection
Do you know any other ways to get word embeddings?,text classification
What is the difference between linear regression and logistic regression?,classification
How do we choose the regularization parameter for linear models?,regularization
What are the three pillars of machine learning?,unsupervised learning
What is the difference between linear regression and time series?,time series
How do we handle the overfitting problem in neural nets?,neural networks
What is the area under the PR curve?,classification
What are the applications of machine learning?,unsupervised learning
How can we leverage the knowledge graph to help us in machine learning?,unsupervised learning
What is the difference between “normal” and “skewed” distribution?,supervised learning
What’s singular value decomposition? How is it typically used for machine learning?,unsupervised learning
In which cases AU PR is better than AU ROC?,classification
What is the effect of regularization parameters on linear models?,regularization
What is Big Data and how does it differ from traditional data?,supervised learning
What is the difference between a linear regression model and a multivariate linear regression model?,supervised learning
What are recommender systems? What do they do?,recommender systems
What are the different types of algorithms that are used for building recommender systems?,recommender systems
How do we deal with over-fitting in linear models?,regularization
How do we interpret the coefficient of a linear model?,classification
How do you select the number of trees in the gradient boosting model?,feature selection
How do we interpret regularization parameters?,regularization
How can we use machine learning techniques to make recommendations?,unsupervised learning
How do we deal with time series problems?,time series
What does the confusion matrix tell us about the classification problem?,classification
What are the challenges in designing learning algorithms?,unsupervised learning
What is the best way to represent a continuous numerical variable in a dataset?,supervised learning
What is time series and how is it different from the usual regression problem?,time series
What are the advantages and disadvantages of linear models compared to non-linear models?,regularization
How can we use ranking algorithms for ranking?,unsupervised learning
How do you evaluate the performance of machine learning models?,supervised learning
What is the difference between cross-validation and hold-out?,supervised learning
What do we do with AU PR?,classification
What is the difference between a linear regression model and a multiple regression model?,supervised learning
How do we use the L2 regularization term in linear models?,regularization
What is the role of unsupervised learning in data science?,unsupervised learning
What are time series problems?,time series
How do you use trees for solving time series problems?,time series
Why do we need one-hot encoding?,classification
What is clustering? When do we need it?,unsupervised learning
Why do we need to choose random forest model?,feature selection
How do we select the best feature importance measures?,feature selection
Can we use L2 regularization for feature selection?,feature selection
What is time series and how it is different from the standard regression model?,time series
What are the most popular machine learning techniques?,unsupervised learning
"How do we split the dataset into train, validation and test sets?",supervised learning
How to deal with overfitting in linear models?,supervised learning
Can we use L1 regularization for feature selection?,feature selection
How would you design a machine learning model that predicts the probability of a customer defaulting on their loan?,supervised learning
What regularization techniques do we have in linear models?,regularization
What are the main parameters of the random forest model?,feature selection
What do you mean by gradient decent?,unsupervised learning
Is it possible to use random forest model in the case of imbalanced dataset?,feature selection
Would you prefer gradient boosting trees model or logistic regression when doing text classification with embeddings?,text classification
What is recommender system?,recommender systems
What do we mean by regularization in linear models?,unsupervised learning
"What is a recommender system, and how does it work?",recommender systems
How do we choose K in K-fold cross-validation? What’s your favorite K?,supervised learning
Why do we need randomization in random forest?,feature selection
How do we check if a variable follows the normal distribution?,supervised learning
What are the different types of artificial networks to be used in recommender systems?,recommender systems
How would you use word embeddings for text classification with N-grams?,text classification
How do we interpret regularization parameters in linear models?,regularization
What are the types of time series analysis?,time series
How can we get training data for our ranking algorithms?,unsupervised learning
What is the difference between CNN and RNN?,neural networks
What is the difference between batch and mini-batch training?,neural networks
How does the linear model generalize to new data?,supervised learning
What’s the interpretation of L1 regularization terms?,regularization
How would you explain to someone who has no background in machine learning how deep learning works?,unsupervised learning
What are the benefits of using GPUs for training deep neural nets?,neural networks
What are the decision trees?,feature selection
How do we choose K in K-fold cross-validation?,supervised learning
What is the cold start problem? What can cause it?,recommender systems
What is machine learning?,unsupervised learning
How can we use ranking algorithms for ranking search?,unsupervised learning
What are the problems with sigmoid as an activation function?,neural networks
What are the key differences between deep learning and traditional neural nets?,neural networks
What is machine learning and how does it differ from traditional AI?,unsupervised learning
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words?,text classification
Can you explain how cross-validation works?,supervised learning
What is the role of regularization techniques in linear models?,regularization
What regularization techniques for neural nets do you know?,neural networks
How would you use bag of words for text classification with bag of words?,text classification
What is the effect of regularization in linear models?,regularization
What is the ROC curve? When to use it?,classification
What’s the regularization term in linear models?,regularization
"What is the difference between linear regression and multiple linear regression, and how are they used in practice?",supervised learning
What is cold start?,recommender systems
What is gradient boosting trees?,feature selection
What is unsupervised learning?,unsupervised learning
How to choose the regularization parameter in linear models?,regularization
What is time series and how does it differ from the usual regression model?,time series
What are the main components of gradient boosting trees?,feature selection
What are the steps involved in feature selection?,feature selection
What are the types of regularization techniques in linear models?,regularization
How do we know which feature importance measure to use?,feature selection
Which optimization techniques for training neural nets do you know?,neural networks
What are the main parameters in the gradient boosting model?,feature selection
What are the differences between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs)?,neural networks
Possible approaches to solving the cold start problem?,recommender systems
"What would you do if you were asked to build a machine learning system that can accurately predict the number of days until an event (e.g., a person's birthday) based on historical weather data?",recommender systems
What is transfer learning? How does it work?,neural networks
How do we measure the quality of our machine learning models?,supervised learning
What do you think is the most important thing to know about machine learning?,unsupervised learning
Possible approaches to solving the cold start problem?,recommender systems
How would you handle the cold start problem?,recommender systems
What is the best way to solve this type of problem in Python?,classification
Is it easy to parallelize training of a random forest model? How can we do it?,feature selection
How do we interpret the coefficients of linear models?,classification
What are neural nets?,neural networks
What do we mean by classification and what are the different types of classification?,unsupervised learning
How can you use bag of words for text classification?,text classification
What are text embeddings?,text classification
How would you use N-grams for text classification?,text classification
Are there any differences between continuous and discrete variables when it comes to feature importance of gradient boosting models?,feature selection
How do we interpret the coefficients in linear models?,classification
What is the role of machine learning in recommender systems?,recommender systems
How do we select the number of trees in Random Forest model?,feature selection
What is the difference between Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs)?,neural networks
How do you approach the problem of building recommender systems?,recommender systems
What is linear regression and what are its advantages?,supervised learning
How does time series differ from the usual regression problem?,time series
What is the difference between mean and median?,unsupervised learning
What do we mean by deep learning?,unsupervised learning
What is the difference between machine learning and deep learning?,supervised learning
How can we use N-grams for text classification?,text classification
What happens when we have correlated features in our data?,feature selection
Is accuracy always a good metric?,classification
What are the key steps in building a recommender system?,recommender systems
How do you build a large-scale recommender system?,recommender systems
What is time series and how it is different from other time series?,time series
What is random forest model?,feature selection
What is ROC PR?,classification
Possible approaches to solving the problem of building a good baselines?,recommender systems
When would you choose K-means and when DBScan?,unsupervised learning
How would you use machine learning for text classification?,text classification
How can we use clicks data as the training data for ranking algorithms?,unsupervised learning
What's a recommender system?,recommender systems
What is the difference between text classification and text embedding?,text classification
How to validate your models?,supervised learning
How do we deal with missing values in machine learning models?,supervised learning
What is the importance of Data Science?,supervised learning
Possible approaches to solving the problem of constructing a good baseline when building a recommender system?,recommender systems
What are time series and how do they differ from the traditional regression models?,time series
What is the difference between Linear models and Nonlinear models?,regularization
What are the advantages and disadvantages of bag of words?,text classification
What are the different types of machine learning models?,supervised learning
How do we handle missing values in linear models?,regularization
Why do we actually need convolutions? Can’t we use fully-connected layers for that?,neural networks
Can we apply logistic regression to linear models?,classification
What is the confusion table?,supervised learning
What do you know about machine learning?,unsupervised learning
How do you approach tuning parameters in XGBoost or LightGBM?,feature selection
How does a usual fully-connected feed-forward neural network work?,neural networks
Can you tell us how you approach the model training process?,neural networks
Do you know any dimensionality reduction techniques?,unsupervised learning
Possible approaches to solving the problem of learning a good initial representation?,recommender systems
How do regularization techniques work?,regularization
Is it possible to create a machine learning model that has no bias?,supervised learning
What are recommender systems and how do they work?,recommender systems
What are classification and regression problems?,classification
What are the different techniques used for time series?,time series
What kind of augmentations do you know?,neural networks
How can we use machine learning techniques to improve our search engine ranking algorithms?,unsupervised learning
What is ROC (Receiver Operating Characteristic) score?,classification
How would you approach the following problem?,unsupervised learning
What are the key differences between supervised and unsupervised machine learning techniques?,unsupervised learning
What are recommender systems? What can they do?,recommender systems
Do you know how DBScan works?,unsupervised learning
What is the cold start problem?,recommender systems
"Why do we need to split our data into three parts: train, validation, and test?",supervised learning
How do we choose the regularization parameter in linear models?,regularization
How do we deal with categorical variables in logistic regression?,classification
What is the concept of “batch” in machine learning?,unsupervised learning
How do we know when to stop training?,neural networks
How can we use unsupervised learning to learn from the unlabeled data?,unsupervised learning
How do we interpret the results of linear models in high-dimensional settings?,classification
What are convolutional layers?,neural networks
How can we use unsupervised learning algorithms to build recommender systems?,unsupervised learning
What is the difference between statistical and machine learning?,supervised learning
What is bag of words?,text classification
"What if instead of finding the best split, we randomly select a few splits and just select the best from them. Will it work?",feature selection
What’s the difference between grid search parameter tuning strategy and random search? When to use one or another?,feature selection
What are the different types of regression models?,supervised learning
What are text classification models?,text classification
How do we interpret L1 regularization parameters?,regularization
What is precision-recall trade-off?,classification
What do we mean by gradient descent?,unsupervised learning
What is classification? Which models would you use to solve a classification problem?,classification
What regularization techniques do we have for linear models?,regularization
How would you solve the following problem?,classification
What is accuracy?,classification
How do you train a neural net with backpropagation?,neural networks
What are the main parameters of the decision tree model?,feature selection
Which hyper-parameter tuning strategies (in general) do you know?,feature selection
What is object segmentation? Do you know any architectures for that?,neural networks
How can we evaluate the performance of recommender systems?,recommender systems
What is the curse of dimensionality? Why do we care about it?,unsupervised learning
What is the difference between machine learning and artificial intelligence?,supervised learning
What are the different time series techniques used in time series?,time series
What is the difference between linear and logistic regression?,classification
What is the linear regression model?,supervised learning
What are the different kinds of machine learning models?,supervised learning
What is AUC (AU ROC)? When to use it?,classification
What is time series and how it differs from other time series?,time series
How can you use machine learning for text classification?,text classification
"How do you calculate the mean, variance, standard deviation, skewness and kurtosis of a distribution?",unsupervised learning
What are the main types of time series?,time series
What is the difference between unsupervised and supervised learning?,unsupervised learning
How we can use neural nets for computer vision?,neural networks
How can you use bag of words for text classification with N-grams?,text classification
What is time series and how it is different from regression?,time series
How can we use bag of words for text classification with bag of words?,text classification
What is the difference between a correlation coefficient and a linear regression coefficient?,supervised learning
How can you use Keras to train neural networks for text classification?,text classification
How do you do an online evaluation of a new ranking algorithm?,unsupervised learning
How to evaluate the model?,classification
Why do we need learning rates?,neural networks
Do we need to normalize features before applying linear models in linear models?,regularization
What are the differences between linear models and generalized linear models?,regularization
How do we use machine learning to build models for recommender systems?,recommender systems
Can we use K-fold cross validation to estimate the generalization error of a model?,supervised learning
What is the k-fold cross-validation?,supervised learning
How do you go about building a recommender system?,recommender systems
You have a series with a “y” variable and a set of features. How do you predict “y” at t+1?,time series
What is the difference between Random Forests and Gradient Boosting Trees?,feature selection
What is the main difference between Random Forest and Gradient Boosting Model?,feature selection
What are recommender systems? When do we need them?,recommender systems
What are good baselines when building a recommender system?,recommender systems
What is the difference between convolutional layers and fully-connected layers?,neural networks
What are N-grams? When do we use N-grams?,text classification
What are N-grams? How can we use them?,text classification
What is the concept of regularization in linear models?,regularization
How do we choose the regularization parameters in linear models?,regularization
How to deal with missing values in linear models?,regularization
"If there’s a trend in our series, how we can remove it? And why would we want to do it?",time series
What is deep learning and how does it differ from traditional machine learning?,unsupervised learning
How would you use text classification with bag of words?,text classification
What is the effect of regularization parameter on the coefficients in linear models?,regularization
What’s the normal distribution? Why do we care about it?,supervised learning
What are the main challenges faced by data scientists today?,supervised learning
Is it possible to use the random forest model for binary classification?,feature selection
What is time series and what are its applications?,time series
What is the difference between classification and regression?,classification
What are the current trends in Machine Learning?,unsupervised learning
How can you use machine learning for text classification with N-grams?,text classification
What is AU ROC?,classification
How do we deal with time series?,time series
What are the challenges you face while building machine learning models?,supervised learning
How can you deal with the cold start problem?,recommender systems
What are some of the advantages of using time series in modeling?,time series
What is linear regression?,supervised learning
How do you deal with cold start problem in recommender system?,recommender systems
What are the types of regression models?,supervised learning
What is Time series?,time series
What is the problem with using trees for solving time series problems?,time series
What regularization techniques are applicable to linear models?,regularization
Possible approaches to solving the problem of unsupervised learning?,unsupervised learning
Can we apply linear models to non-linear problems?,regularization
What are MSE and RMSE?,supervised learning
What are word embeddings? Why are they useful? Do you know Word2Vec?,text classification
What do you know about what regression models are?,supervised learning
What’s the regularization parameter for linear models?,regularization
How do we evaluate the performance of a model?,classification
Is feature selection important for linear models?,feature selection
What are the problems that can be solved using machine learning techniques?,unsupervised learning
How do we select the optimal regularization parameters for linear models?,regularization
How would you approach the cold start problem in a recommender system?,recommender systems
"How do we split the data into train, validation and test sets?",supervised learning
How do we use unsupervised learning for ranking?,unsupervised learning
How do you evaluate the performance of your models?,classification
What is the ranking problem? Which models can you use to solve them?,unsupervised learning
How do we choose K for K-fold cross-validation?,supervised learning
How to perform text classification using word embeddings?,text classification
What are the benefits of applying machine learning?,unsupervised learning
You have a series with a variable “y” and a set of features. How do you predict “y” at t+1? Which approaches would you use?,time series
How to choose the optimal number of trees in random forest model?,feature selection
What are good unsupervised baselines for text information retrieval?,unsupervised learning
Which models do you know for solving time series problems?,time series
What are time series?,time series
What is the purpose of regularization in linear models?,regularization
What are the advantages of time series analysis?,time series
What do you know about time series and how it is used in forecasting?,time series
How do you approach the cold start problem?,recommender systems
How can you deal with the cold start problem in recommender systems?,recommender systems
"1,000,000 random numbers between -1 and 1 with mean 0. What is the standard deviation?",unsupervised learning
How can we apply machine learning algorithms for recommendation?,unsupervised learning
What are the challenges you can face when building a recommender system?,recommender systems
Why do we need to use neural nets for deep learning?,neural networks
What are convolutional neural nets (CNNs)?,neural networks
What is the difference between cross validation and leave one out?,supervised learning
How can we do text classification with deep learning?,text classification
How would you use machine learning for text classification with word embeddings?,text classification
How do we choose the number of components in linear models?,regularization
How is time series different from the usual regression problem?,time series
What do we mean by “Deep Learning”?,unsupervised learning
What are the types of machine learning?,unsupervised learning
1.What is data science and how does it differ from machine learning?,supervised learning
What do you mean by transfer learning?,unsupervised learning
What is Adam? What’s the main difference between Adam and SGD?,neural networks
What is the difference between Logistic Regression and Linear Regression?,classification
What are the common approaches to building an effective recommender system?,recommender systems
What is logistic regression?,classification